"Dataset File","Collected","Variable","Label","Description"
"Form 2 - Eligibility Screening","Baseline","HYST3M","Hysterectomy last 3 months","Was your hysterectomy within the last 3 months?"
"Form 2 - Eligibility Screening","Baseline","HYSTAGE","Age at hysterectomy","How old were you when you had your hysterectomy?"
"Form 2 - Eligibility Screening","Baseline","MENSELST","Last time had any menstrual bleeding","When was the last time you had any menstrual bleeding or spotting? (Your best guess.)"
"Form 2 - Eligibility Screening","Baseline","MEALOUT","10 or more meals prepared away from home","How many of your meals are prepared away from your home each week, that is, meals that you eat in a restaurant, or as ""take-out"", or at friends' or relatives' houses?"
"Form 2 - Eligibility Screening","Baseline","MALDIET","Special malabsorption diet","Are you following a special diet prescribed by a doctor for malabsorption, celiac sprue (sometimes this is called a gluten-free diet), ulcerative colitis, or Crohn's disease? (We know that these may be unfamiliar words.  If you have not been told to follow one of these diets, mark No.)"
"Form 2 - Eligibility Screening","Baseline","LFDIETF2","Special low-fiber diet","Are you following a special low-fiber or low-residue diet (low in fruits, vegetables, and grains) that was prescribed for you by your doctor?"
"Form 2 - Eligibility Screening","Baseline","DIAB","Diabetes ever","Did a doctor ever say that you had sugar diabetes or high blood sugar when you were not pregnant?"
"Form 2 - Eligibility Screening","Baseline","DIABAGE","Age first told had diabetes","How old were you when you were first told you had sugar diabetes? (Don't include diabetes you had only when pregnant.)"
"Form 2 - Eligibility Screening","Baseline","DIABCOMA","Hospitalized for a diabetic coma","Were you ever hospitalized for a diabetic coma?"
"Form 2 - Eligibility Screening","Baseline","DBDIETF2","Special diet for diabetes","Did a doctor ever tell you to keep a special diet for your diabetes?"
"Form 2 - Eligibility Screening","Baseline","INSULIN","Insulin shots ever","Did you ever take insulin shots?"
"Form 2 - Eligibility Screening","Baseline","INSULINW","Insulin shots now","Are you using insulin now?"
"Form 2 - Eligibility Screening","Baseline","DIABPILL","Pills for diabetes ever","Did you ever take pills for your diabetes to lower your blood sugar?"
"Form 2 - Eligibility Screening","Baseline","DIABNW","Diabetes now","Do you have sugar diabetes or high blood sugar now?"
"Form 2 - Eligibility Screening","Baseline","DVT","DVT ever","Did a doctor ever say that you had a blood clot in your legs? This is sometimes called deep vein thrombosis or DVT. This does not include varicose veins or phlebitis."
"Form 2 - Eligibility Screening","Baseline","DVT6M","DVT last 6 months","Did you have a blood clot in your leg in the last 6 months?"
"Form 2 - Eligibility Screening","Baseline","DVTACC1M","DVT 1 month after accident","Did this blood clot occur within one month after a serious accident, fracture, injury, or operation?"
"Form 2 - Eligibility Screening","Baseline","PE","Pulmonary embolism ever","Did a doctor ever say that you had a blood clot in your lung? This is sometimes called a pulmonary embolus or PE."
"Form 2 - Eligibility Screening","Baseline","PE6M","Pulmonary embolism last 6 months","Did you have a blood clot in your lung in the last 6 months?"
"Form 2 - Eligibility Screening","Baseline","PEACC1M","Pulmonary embolism 1 mo after accident","Did this blood clot occur within one month after a serious accident, fracture, injury, or operation?"
"Form 2 - Eligibility Screening","Baseline","STROKE","Stroke ever","Did a doctor ever say that you had a stroke?"
"Form 2 - Eligibility Screening","Baseline","STROKE6M","Stroke last 6 months","Did you have a stroke in the last 6 months?"
"Form 2 - Eligibility Screening","Baseline","TIA","TIA ever","Did a doctor ever say that you had a small stroke that lasted less than 24 hours? This is sometimes called a transient ischemic attack or TIA."
"Form 2 - Eligibility Screening","Baseline","TIA6M","TIA last 6 months","Did you have a TIA in the last 6 months?"
"Form 2 - Eligibility Screening","Baseline","MI","MI ever","Did a doctor ever say that you had a heart attack? This is sometimes called a coronary, myocardial infarction, or MI."
"Form 2 - Eligibility Screening","Baseline","MIAGE","Age first had MI","How old were you when you had your first heart attack? (Your best guess.)"
"Form 2 - Eligibility Screening","Baseline","MI6M","MI last 6 months","Did you have a heart attack in the last 6 months?"
"Form 2 - Eligibility Screening","Baseline","SCANEMIA","Sickle cell anemia ever","Did a doctor ever say that you had any of the following health problems? (Please mark No or Yes for each problem listed.) Sickle cell anemia?"
"Form 2 - Eligibility Screening","Baseline","CHF_F2","Heart failure ever","Did a doctor ever say that you had any of the following health problems? (Please mark No or Yes for each problem listed.) Heart failure?"
"Form 2 - Eligibility Screening","Baseline","LIVERDIS","Liver disease ever","Did a doctor ever say that you had any of the following health problems? (Please mark No or Yes for each problem listed.) Liver disease (chronic active hepatitis, cirrhosis, or yellow jaundice)?"
"Form 2 - Eligibility Screening","Baseline","BLDPROB","Bleeding problem ever","Did a doctor ever say that you had any of the following health problems? (Please mark No or Yes for each problem listed.) Bleeding problem?"
"Form 2 - Eligibility Screening","Baseline","L15LBS6M","Lost 15 lbs in the last 6 mo w/o trying","Have you lost 15 or more pounds in the last 6 months without trying?"
"Form 2 - Eligibility Screening","Baseline","DIALYSIS","Kidney dialysis for kidney failure","Are you on kidney dialysis or a kidney machine for kidney or renal failure?"
"Form 2 - Eligibility Screening","Baseline","OTHCHRON","Other long-term illness","Do you have any other long-term or chronic illness?"
"Form 2 - Eligibility Screening","Baseline","HARDSTDY","Problems make it hard to participate","Are there any reasons, like serious emotional problems, mental illness, or too much stress, that would make it hard for you to be in a research study?"
"Form 2 - Eligibility Screening","Baseline","COMECC","Able to come to clinic","Will you be able to come to our clinic?"
"Form 2 - Eligibility Screening","Baseline","HELPCC","Kind of help needed to come to clinic","What kind of help would you need to come to our clinic?"
"Form 2 - Eligibility Screening","Baseline","INTDM","Interested in DM part of study","Do you think you might be interested in the Dietary Change part of the study?"
"Form 2 - Eligibility Screening","Baseline","AVAILDM","Available for regular dietary meetings","If you join the dietary part of the study, you will be placed in a dietary change or usual diet group. You may be attending regular group meetings. Will you be available for regular meetings for the next year?"
"Form 2 - Eligibility Screening","Baseline","INTHRT","Interested in HRT part of study","Do you think you might be interested in the Hormone Replacement part of the study?"
"Form 2 - Eligibility Screening","Baseline","AVAILHRT","Consider taking only HRT from CC","If you join the hormone part of the study, you may be placed into the hormone or no-hormone (placebo) group. Would you consider taking only the hormone pills given to you by Clinical Center staff if you join the hormone part of the study?"
"Form 2 - Eligibility Screening","Baseline","TALKDOC","Interested in talking to Dr. about HRT","If you are currently on hormones, are you interested in talking to your doctor about the Hormone Replacement part of the study?"
"Form 2 - Eligibility Screening","Baseline","HRTINFDR","Send HRT info to Doctor","Would you like us to send information about the Hormone Replacement part of the study to your doctor?"
"Form 2 - Eligibility Screening","Baseline","HELPFILL","Need someone to help fill out forms","Will you need someone to help you fill out forms if you join this study?"
"Form 2 - Eligibility Screening","Baseline","HORMSTAT","HRT use ever","Computed from Form 2, questions 17 and 17.1.  Combines questions 17 and 17.1 into a three category HRT use variable (never, past, current)."
"Form 2 - Eligibility Screening","Baseline","AGEHYST","Hysterectomy age group","Computed from Form 2, questions 18 and 18.2.  Collapses age at hysterectomy categories from question 18.2 into four groups.  Set to missing if no hysterectomy, or age at hysterectomy is missing."
"Form 2 - Eligibility Screening","Baseline","DIABTRT","Diabetes treated (pills or  shots)","Computed from Form 2, question 23, 23.4 and 23.6.  Indicator for whether the participant has ever been treated for diabetes with pills or shots."
"Form 20 - Personal Information","Baseline","ID","WHI Participant Common ID",""
"Form 20 - Personal Information","Baseline","F20DAYS","F20 Days since randomization/enrollment",""
"Form 20 - Personal Information","Baseline","F20CONT","Contact type","The method used to collect the data."
"Form 20 - Personal Information","Baseline","EDUC","Highest grade finished in school","What is the highest grade in school you finished? (Mark one.)"
"Form 20 - Personal Information","Baseline","NOTWRK","Currently not working","What is your current job status? (Mark the one that best describes you. If more than one describes you, mark both.) Not working"
"Form 20 - Personal Information","Baseline","RETIRED","Currently retired","What is your current job status? (Mark the one that best describes you. If more than one describes you, mark both.) Retired"
"Form 20 - Personal Information","Baseline","HOMEMKR","Currently homemaker","What is your current job status? (Mark the one that best describes you. If more than one describes you, mark both.) Homemaker, raising children, care of others"
"Form 20 - Personal Information","Baseline","EMPLOYED","Currently employed (full- or part-time)","What is your current job status? (Mark the one that best describes you. If more than one describes you, mark both.) Employed (full-time or part-time)"
"Form 20 - Personal Information","Baseline","DISABLED","Currently disabled","What is your current job status? (Mark the one that best describes you. If more than one describes you, mark both.) Disabled, unable to work"
"Form 20 - Personal Information","Baseline","OTHWRK","Other current job status","What is your current job status? (Mark the one that best describes you. If more than one describes you, mark both.) Other (Specify):"
"Form 20 - Personal Information","Baseline","JOBHMMKR","Job as homemaker","Which of the statements below best describe your job? If you are not working now, which statement best describes your past job, that is, the job you held the longest? (If you are a homemaker, but work part-time, you should mark both.) Homemaker, raising children, care of others"
"Form 20 - Personal Information","Baseline","JOBMANGR","Job as managerial, professional","Which of the statements below best describe your job? If you are not working now, which statement best describes your past job, that is, the job you held the longest? (If you are a homemaker, but work part-time, you should mark both.) Managerial, professional specialty  (Executive, managerial, administrative, professional occupations.  Job titles include teacher, guidance counselor, registered nurse, doctor, lawyer, accountant, architect, computer/systems analyst, personnel manager, sales manager, etc.)"
"Form 20 - Personal Information","Baseline","JOBTECH","Job as technical, sales, admin support","Which of the statements below best describe your job? If you are not working now, which statement best describes your past job, that is, the job you held the longest? (If you are a homemaker, but work part-time, you should mark both.)Technical, sales, and administrative support  (Technical and related support occupations, sales, administrative support, clerical work.  Job titles include computer programmer/operator, vocational/practical nurse, dental assistant, laboratory technician, sales clerk, cashier, receptionist, secretary, word processor, etc.)"
"Form 20 - Personal Information","Baseline","JOBSERV","Job as service","Which of the statements below best describe your job? If you are not working now, which statement best describes your past job, that is, the job you held the longest? (If you are a homemaker, but work part-time, you should mark both.) Service  (Protective service (police, fire), health or food services, craft and repair occupations, farming, forestry or fishing occupations.  Job titles include policewoman, nursing assistant, teaching assistant, child care attendant, maid, cook, waitress, food service clerk, seamstress, etc.)"
"Form 20 - Personal Information","Baseline","JOBLABOR","Job as operator, fabricator, laborer","Which of the statements below best describe your job? If you are not working now, which statement best describes your past job, that is, the job you held the longest? (If you are a homemaker, but work part-time, you should mark both.) Operators, fabricators, and laborers  (Factory, transport, and construction work.  Job titles include factory, assembly, truck driver, construction worker, etc.)"
"Form 20 - Personal Information","Baseline","JOBOTH","Job as other than listed","Which of the statements below best describe your job?If you are not working now, which statement best describes your past job, that is, the job you held the longest?(If you are a homemaker, but work part-time, you should mark both.) Other (Specify):"
"Form 20 - Personal Information","Baseline","MARITAL","Marital status","What is your current marital status? (Mark the one that best describes you.)"
"Form 20 - Personal Information","Baseline","PEDUC","Partner highest level of education","If married or living in a marriage-like relationship, which category below best describes the highest level of school your husband (partner) completed? (Mark one.)"
"Form 20 - Personal Information","Baseline","PNOTWRK","Partner currently not working","What is your husband's (partner's) current job status (Mark one. If more than one applies, mark both) Not working"
"Form 20 - Personal Information","Baseline","PRETIRED","Partner currently retired","What is your husband's (partner's) current job status (Mark one. If more than one applies, mark both) Retired"
"Form 20 - Personal Information","Baseline","PHOMEMKR","Partner currently homemaker","What is your husband's (partner's) current job status (Mark one. If more than one applies, mark both) Homemaker, raising children, care of others"
"Form 20 - Personal Information","Baseline","PEMPLOY","Partner currently employed","What is your husband's (partner's) current job status (Mark one. If more than one applies, mark both) Employed (full-time or part-time)"
"Form 20 - Personal Information","Baseline","PDISABLE","Partner currently disabled","What is your husband's (partner's) current job status (Mark one. If more than one applies, mark both) Disabled, unable to work"
"Form 20 - Personal Information","Baseline","POTHWRK","Partner currently other job","What is your husband's (partner's) current job status (Mark one. If more than one applies, mark both) Other (Specify):"
"Form 20 - Personal Information","Baseline","PMAINJOB","Partner`s main job","Which statement below best describes your husband's (partner's) job? If not working now, which one best describes your partner's last job? (See Question 8 for descriptions of these jobs.)"
"Form 20 - Personal Information","Baseline","INCOME","Total family income (before taxes)","What was the total family income (before taxes) from all sources within your household in the last year? (Mark the one that is the best guess. This information is important for describing the women in the study as a group and is kept strictly confidential.)"
"Form 20 - Personal Information","Baseline","CAREPROV","Current Health Care Provider","Do you have a clinic, doctor, nurse, or physician assistant who gives you your usual medical care?"
"Form 20 - Personal Information","Baseline","LSTVISDY","Days from rand to last visit",""
"Form 20 - Personal Information","Baseline","MAMMO","Mammogram ever","Have you ever had a mammogram (X-ray of the breasts to look for cancer)?"
"Form 20 - Personal Information","Baseline","LSTMAMDY","Days from rand to last mammogram",""
"Form 20 - Personal Information","Baseline","PAPSMEAR","Pap smear ever","Have you ever had a Pap smear (a cancer check done during a female exam)?"
"Form 20 - Personal Information","Baseline","LSTPAPDY","Days from rand to last pap smear",""
"Form 20 - Personal Information","Baseline","ABNPAP3Y","Abnormal Pap smear last 3 years","Have you had an abnormal Pap smear in the last 3 years?"
"Form 20 - Personal Information","Baseline","CERVDYS","Cervical dysplasia ever","Have you ever been told you had cervical dysplasia (abnormal changes of the cervix that may or may not be early signs of cancer)?"
"Form 20 - Personal Information","Baseline","ENDOASP","Endometrial aspiration ever","Have you ever had a test called a ""uterus biopsy,"" ""endometrial aspiration,"" or ""D & C""? (This is done in a doctor's office or clinic where a small part of the lining of the uterus or womb is tested. These tests are different from a Pap smear or a colposcopy."
"Form 20 - Personal Information","Baseline","LSTASPDY","Days from rand to last aspiration",""
"Form 20 - Personal Information","Baseline","HMOINS","Pre-paid private insurance","Which category or categories below best describe how you usually pay for your medical care? (Mark all that apply.) Pre-paid private insurance (for example: Health Maintenance Organization, Kaiser Permanente, or other Group Health-type plan)"
"Form 20 - Personal Information","Baseline","OTHPRVIN","Private insurance (other than pre-paid)","Which category or categories below best describe how you usually pay for your medical care? (Mark all that apply.) Other private insurance (for example: Blue Cross, Aetna, etc.)"
"Form 20 - Personal Information","Baseline","MEDICARE","Medicare","Which category or categories below best describe how you usually pay for your medical care? (Mark all that apply.) Medicare"
"Form 20 - Personal Information","Baseline","MEDICAID","Medicaid","Which category or categories below best describe how you usually pay for your medical care? (Mark all that apply.) Medicaid (for example: Medical Assistance or DPA)"
"Form 20 - Personal Information","Baseline","MLTRYINS","Military or VA insurance","Which category or categories below best describe how you usually pay for your medical care? (Mark all that apply.) Military or Veterans Administration-sponsored"
"Form 20 - Personal Information","Baseline","NOINS","No insurance","Which category or categories below best describe how you usually pay for your medical care? (Mark all that apply.) No insurance"
"Form 20 - Personal Information","Baseline","PAYOTH","Other insurance than listed","Which category or categories below best describe how you usually pay for your medical care? (Mark all that apply.) Other"
"Form 20 - Personal Information","Baseline","USSERVE","Served in US armed forces","Have you served in the U.S. armed forces on active duty for a period of 180 days or more?"
"Form 20 - Personal Information","Baseline","VAMEDCTR","Used a VA medical center ever","Have you ever made use of a VA Medical Center?"
"Form 20 - Personal Information","Baseline","MAINJOB","Occupation","Computed from Form 20, questions 8.1-8.8.  Categorizes participants occupation into one of four groups (managerial/professional, technical/sales/administrative, homemaker only, or service/labor)."
"Form 20 - Personal Information","Baseline","NOMAM2YR","No mammogram in last 2 years","Computed from Form 20, questions 13 and 13.1.  Indicates if a participant did NOT have a mammogram in the past two years."
"Form 20 - Personal Information","Baseline","NOPAP3YR","No pap smear in last 3 years","Computed from Form 20, questions 14 and 14.1, and Form 2, question 18.  Indicates if a participant did NOT have a pap smear in the past three years. Missing if a participant has been hysterectomized."
"Form 20 - Personal Information","Baseline","TIMELAST","Time Since Last Medical Visit (months)","Computed from Form 20, questions 12, 12.2 and 18.  Time in months since last visit to participant's usual medical care provider."
"Form 20 - Personal Information","Baseline","TIMELSTS","Last Medical Visit within 1 Year","Computed from Form 20, questions 12, 12.2 and 18.  Indicator of whether participant reported visiting her ususal medical care provider within the last year."
"Form 20 - Personal Information","Baseline","ANYINS","Any Insurance","Computed from Form 20, question 16.  Indicator for whether the participant has any medical insurance."
"Form 30 - Medical History","Baseline","ID","WHI Participant Common ID",""
"Form 30 - Medical History","Baseline","F30DAYS","F30 Days since randomization/enrollment",""
"Form 30 - Medical History","Baseline","F30CONT","Contact type","The method used to collect the data."
"Form 30 - Medical History","Baseline","HOSP2Y","Hospitalized overnight last two years","Have you been hospitalized overnight at any time during the past two years?"
"Form 30 - Medical History","Baseline","GLAUCOMA","Glaucoma ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Glaucoma"
"Form 30 - Medical History","Baseline","CATARACT","Cataract ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Cataract(s)"
"Form 30 - Medical History","Baseline","HICHOLRP","High cholesterol requiring pills ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) High cholesterol requiring pills"
"Form 30 - Medical History","Baseline","ASTHMA","Asthma ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Asthma"
"Form 30 - Medical History","Baseline","EMPHYSEM","Emphysema ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Emphysema or chronic bronchitis"
"Form 30 - Medical History","Baseline","KIDNEYST","Kidney or bladder stones ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Kidney or bladder stones (renal or urinary calculi)"
"Form 30 - Medical History","Baseline","HIBLDCA","High blood calcium","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) High blood calcium"
"Form 30 - Medical History","Baseline","STOMULCR","Stomach of duodenal ulcer ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Stomach or duodenal ulcer"
"Form 30 - Medical History","Baseline","DIVERTIC","Diverticulitis ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Diverticulitis"
"Form 30 - Medical History","Baseline","COLITIS","Ulcerative colitis ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Ulcerative colitis or Crohn's disease"
"Form 30 - Medical History","Baseline","LUPUS","Lupus ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Systemic erythematosus (""lupus"" or SLE)"
"Form 30 - Medical History","Baseline","PANCREAT","Pancreatitis ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Pancreatitis (inflamed pancreas)"
"Form 30 - Medical History","Baseline","OSTEOPOR","Osteoporosis ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Osteoporosis (weak, thin, or brittle bones)"
"Form 30 - Medical History","Baseline","HIPREP","Hip replacement ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Hip replacement"
"Form 30 - Medical History","Baseline","OTHJREP","Other joint replacement ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Other joint replacement"
"Form 30 - Medical History","Baseline","INTESTRM","Part of intestines removed ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Part of intestines taken out"
"Form 30 - Medical History","Baseline","MIGRAINE","Migraine headaches ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Migraine headaches"
"Form 30 - Medical History","Baseline","ALZHEIM","Alzheimer`s disease ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Alzheimer's disease"
"Form 30 - Medical History","Baseline","MS","MS ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Multiple sclerosis"
"Form 30 - Medical History","Baseline","PARKINS","Parkinson`s disease ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Parkinson's disease"
"Form 30 - Medical History","Baseline","ALS","ALS ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) Amyotropic Lateral Sclerosis (ALS, motor neuron disease, or Lou Gehrig's disease)"
"Form 30 - Medical History","Baseline","NACOND","None of listed medical conditions ever","Has a doctor told you that you have any of the following conditions or have you had any of the following procedures? (Please mark all that apply.) None of the above"
"Form 30 - Medical History","Baseline","CVD","Cardiovascular disease ever","Has a doctor ever told you that you had heart problems, problems with your blood circulation, or blood clots?"
"Form 30 - Medical History","Baseline","CARDREST","Cardiac arrest ever","Please mark the conditions or procedures below that a doctor said you had. Cardiac arrest (where your heart stopped and needed to be restarted)"
"Form 30 - Medical History","Baseline","CHF_F30","Congestive heart failure ever","Please mark the conditions or procedures below that a doctor said you had. Heart failure or congestive heart failure"
"Form 30 - Medical History","Baseline","CARDCATH","Cardiac catheterization ever","Please mark the conditions or procedures below that a doctor said you had. Cardiac catheterization (heart catheterization or coronary angiogram)"
"Form 30 - Medical History","Baseline","CABG","Coronary bypass surgery ever","Please mark the conditions or procedures below that a doctor said you had. Heart bypass operation or coronary bypass surgery for blocked or clogged arteries in you heart"
"Form 30 - Medical History","Baseline","PTCA","Angioplasty of coronary arteries ever","Please mark the conditions or procedures below that a doctor said you had. Angioplasty of the coronary arteries (opening the arteries of the heart with a balloon or other device, sometimes called a PTCA)"
"Form 30 - Medical History","Baseline","CAROTID","Carotid endarterectomy/angioplasty ever","Please mark the conditions or procedures below that a doctor said you had. Carotid endarterectomy or carotid angioplasty (operation for blockage or narrowing of the arteries in your neck)"
"Form 30 - Medical History","Baseline","ATRIALFB","Atrial fibrillation ever","Please mark the conditions or procedures below that a doctor said you had. Atrial fibrillation (a type of irregular heart beat)"
"Form 30 - Medical History","Baseline","AORTICAN","Aortic aneurysm ever","Please mark the conditions or procedures below that a doctor said you had. Aortic aneurysm"
"Form 30 - Medical History","Baseline","NACVD","None of the listed CVD conditions ever","Please mark the conditions or procedures below that a doctor said you had. None of the above"
"Form 30 - Medical History","Baseline","ARTHRIT","Arthritis ever","Did your doctor ever say that you had arthritis?"
"Form 30 - Medical History","Baseline","RHEUMAT","Rheumatoid arthritis ever","What type of arthritis do you have?"
"Form 30 - Medical History","Baseline","GALLBS","Gallbladder disease or gallstones ever","Did a doctor ever say that you had gallbladder disease or gallstones?"
"Form 30 - Medical History","Baseline","GALLBSNW","Gallbladder disease or gallstones now","Do you now have gallbladder disease or gallstones?"
"Form 30 - Medical History","Baseline","GALLSTRM","Gallstones removed","Did you ever have a procedure to remove gallstones?"
"Form 30 - Medical History","Baseline","GALLBLRM","Gallbladder removed","Did you have your gallbladder removed?"
"Form 30 - Medical History","Baseline","THYROID","Thyroid gland problem ever","Did a doctor ever say that you had a thyroid gland problem (not including thyroid cancer)?"
"Form 30 - Medical History","Baseline","GOITER","Goiter ever","Do you have any of the following conditions? (Please mark ""No"" or ""Yes"" for each condition.) Goiter (large thyroid gland)"
"Form 30 - Medical History","Baseline","GOITERNW","Goiter now","If yes do you now have this problem? Goiter (large thyroid gland)"
"Form 30 - Medical History","Baseline","NODULE","Thyroid nodule ever","Do you have any of the following conditions? (Please mark ""No"" or ""Yes"" for each condition.) Nodule (lumps in the thyroid gland)"
"Form 30 - Medical History","Baseline","NODULENW","Thyroid nodule now","If yes do you now have this problem?  Nodule (lumps in the thyroid gland)"
"Form 30 - Medical History","Baseline","OVRTHY","Overactive thyroid ever","Do you have any of the following conditions? (Please mark ""No"" or ""Yes"" for each condition.) Overactive thyroid"
"Form 30 - Medical History","Baseline","OVRTHYNW","Overactive thyroid now","If yes do you now have this problem? Overactive thyroid"
"Form 30 - Medical History","Baseline","UNDTHY","Underactive thyroid ever","Do you have any of the following conditions? (Please mark ""No"" or ""Yes"" for each condition.) Underactive thyroid"
"Form 30 - Medical History","Baseline","UNDTHYNW","Underactive thyroid now","If yes do you now have this problem? Underactive thyroid"
"Form 30 - Medical History","Baseline","HYPT","Hypertension ever","Did a doctor ever say that you had hypertension or high blood pressure? (Do not include high blood pressure that you had only when you were pregnant.)"
"Form 30 - Medical History","Baseline","HYPTAGE","Age told of hypertension","How old were you when you were told you had high blood pressure? (Give your best guess.)"
"Form 30 - Medical History","Baseline","HYPTPILL","Pills for hypertension ever","Did you ever take pills for high blood pressure?"
"Form 30 - Medical History","Baseline","HYPTPILN","Pills for hypertension now","Do you now take pills for high blood pressure?"
"Form 30 - Medical History","Baseline","ANGINA","Angina ever","Did a doctor ever say that you had angina (chest pains from a heart problem)?"
"Form 30 - Medical History","Baseline","ANGNPILN","Pills for angina now","Do you now take pills for angina?"
"Form 30 - Medical History","Baseline","PAD","Peripheral arterial disease ever","Did a doctor ever say that you had claudication or peripheral arterial disease (poor blood flow to the legs or blocked or narrowed arteries to the legs)? Do not include varicose veins or phlebitis."
"Form 30 - Medical History","Baseline","PADANGGR","Angiography for PAD ever","For the above condition, have you ever had: Angiography (dye in the arteries of the legs)?"
"Form 30 - Medical History","Baseline","PADANGP","Angioplasty for PAD ever","For the above condition, have you ever had: Angioplasty (balloon catheter to open blockage)?"
"Form 30 - Medical History","Baseline","PADSURG","Surgery to improve flow to legs for PAD","For the above condition, have you ever had: Surgery to improve blood flow in your legs (do not include surgery for varicose veins)?"
"Form 30 - Medical History","Baseline","COLNSCPY","Colonoscopy ever","Have you ever had a colonoscopy or sigmoidoscopy or flex sig (where a doctor inserts a tube in the rectum to check for bowel problems)?"
